angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,[250 181 266 266],0.0,0.02,0.01,0.86,0.08,0.0
0.03,[240 184 270 270],0.0,0.02,0.01,0.88,0.06,0.01
0.03,[242 187 266 266],0.0,0.04,0.0,0.88,0.03,0.01
0.02,[234 185 270 270],0.0,0.02,0.01,0.91,0.01,0.01
0.01,[233 189 267 267],0.0,0.02,0.0,0.93,0.02,0.01
0.05,[232 197 261 261],0.0,0.04,0.0,0.85,0.04,0.02
0.06,[232 188 272 272],0.0,0.05,0.02,0.8,0.06,0.01
0.04,[236 200 252 252],0.0,0.02,0.02,0.88,0.03,0.01
0.03,[233 194 264 264],0.0,0.02,0.0,0.92,0.03,0.01
0.03,[228 196 266 266],0.0,0.03,0.01,0.86,0.05,0.02
0.1,[235 197 260 260],0.0,0.03,0.01,0.79,0.07,0.01
0.04,[232 194 265 265],0.0,0.03,0.0,0.88,0.03,0.01
0.03,[232 193 266 266],0.0,0.02,0.0,0.92,0.02,0.01
0.05,[232 192 268 268],0.0,0.02,0.01,0.88,0.03,0.02
0.03,[229 194 270 270],0.0,0.02,0.0,0.9,0.03,0.01
0.06,[228 197 267 267],0.0,0.03,0.01,0.83,0.06,0.01
0.09,[234 198 257 257],0.0,0.04,0.0,0.82,0.03,0.02
0.03,[230 198 263 263],0.0,0.02,0.0,0.91,0.03,0.01
0.03,[230 193 268 268],0.0,0.02,0.0,0.92,0.03,0.01
0.08,[229 203 259 259],0.0,0.04,0.0,0.83,0.03,0.02
0.03,[227 193 272 272],0.0,0.02,0.0,0.91,0.03,0.01
0.03,[224 197 268 268],0.0,0.02,0.0,0.9,0.02,0.01
0.03,[225 197 268 268],0.0,0.02,0.0,0.92,0.03,0.01
0.02,[218 192 277 277],0.0,0.02,0.0,0.91,0.03,0.01
0.03,[223 200 267 267],0.0,0.02,0.0,0.91,0.02,0.01
0.04,[222 202 260 260],0.0,0.03,0.0,0.89,0.03,0.01
